parameter,sign,max_isvm_delta
organic_abundance,1,0.004899999999999904
organic_abundance,-1,0.004899999999999904
volatile_abundance,1,0.004899999999999904
volatile_abundance,-1,0.004899999999999904
organic_silicate_ratio,1,0.0041999999999999815
organic_silicate_ratio,-1,0.0041999999999999815
ch2_ch3,1,0.0025199999999999667
ch2_ch3,-1,0.0025200000000000777
carbon_content_pct,1,0.0035000000000000586
carbon_content_pct,-1,0.0035000000000000586
mineral_phyllo,1,0.0
mineral_phyllo,-1,0.0016666666666667052
mineral_carbonate,1,0.0007500000000000284
mineral_carbonate,-1,0.013249999999999984
mineral_sulfate,1,0.0006666666666667043
mineral_sulfate,-1,0.013166666666666771
mineral_oxide,1,0.0005833333333333801
mineral_oxide,-1,0.013083333333333447
mineral_silicate,1,0.0
mineral_silicate,-1,0.001000000000000112
mineral_amorphous,1,0.0004166666666667318
mineral_amorphous,-1,0.012916666666666687
amorphous_fraction,1,0.003750000000000031
amorphous_fraction,-1,0.003750000000000142
hydration_depth,1,0.006000000000000005
hydration_depth,-1,0.006000000000000005
space_weathering_proxy,1,0.0016666666666667052
space_weathering_proxy,-1,0.0016666666666667052
geologic_diversity,1,0.0020000000000000018
geologic_diversity,-1,0.0020000000000000018
tmax_k,1,0.022500000000000075
tmax_k,-1,0.025499999999999967
