site,C,M,G,T,isvm,weight_scheme,safety_score,sampleability_score,deliverability_score,safety_pass,deliverability_pass,engineering_pass,combined
SYN-12,0.7787909116302264,0.9070399941840107,0.6623225885084847,1.0,0.8271533350274795,priority,0.36381677036370785,0.5594421537946617,0.4455758881436882,False,False,False,2.1959881473295373
SYN-07,0.8098156787255752,0.6530136204601213,0.8185376448622282,1.0,0.7930471026644333,priority,0.45652975529326045,0.5911059607470196,0.7279229713842592,True,True,True,2.5686057900889727
SYN-09,0.6863414766341664,0.3654785094453477,0.8617720619466209,1.0,0.6722174820448868,priority,0.33012725172632595,0.22231409666592528,0.19845548567747548,False,False,False,1.4231143161146134
SYN-15,0.7095421247342166,0.4393742236598777,0.6181133569122493,1.0,0.653774682137389,priority,0.6040391079727746,0.30590175236701406,0.6909502675241053,False,True,False,2.254665810001283
SYN-01,0.7198142791514917,0.18776036604672175,0.7593650989317423,1.0,0.6101361273033871,priority,0.2610857409278686,0.4887175723792922,0.40884428695616293,False,False,False,1.7687837275667109
SYN-25,0.6329170282594138,0.6218717604169053,0.47978778616918416,0.5,0.5790400452497031,priority,0.4522443945606307,0.5779279914745804,0.662896462513128,False,True,False,2.272108893798042
SYN-04,0.8081963921014088,0.5872485538142873,0.5719463154153865,0.0,0.5734325664628566,priority,0.30235333725161373,0.13447521848122326,0.17522854689808792,False,False,False,1.1854896690937815
SYN-08,0.6620127369335141,0.8196539709655202,0.4548367840367944,0.0,0.5685680060237449,priority,0.47484810265444527,0.38698148916654435,0.5563659677412031,False,False,False,1.9867635655859375
SYN-11,0.3386722228708911,0.3772795763706811,0.8652535397417387,1.0,0.5547698588643639,priority,0.4710888078672192,0.19945304014397403,0.6848816553440182,True,True,True,1.9101933622195755
SYN-24,0.3943225858560874,0.7971221423498587,0.8291271654761893,0.0,0.5429749808498261,priority,0.40603884589529315,0.4861309668604039,0.8178627354766383,False,True,False,2.2530075290821614
SYN-19,0.3427109565270845,0.5398407474990715,0.8833108787246029,0.5,0.5335632347791216,priority,0.31112810381190004,0.3735394605434976,0.6931139433779592,False,True,False,1.9113447425124783
SYN-17,0.6517051420305023,0.7220292972058087,0.4322568020475056,0.0,0.5311569492819195,priority,0.2486575710883376,0.0614818808155263,0.6216362372799202,False,True,False,1.4629326384657038
SYN-21,0.6568012691436648,0.3964010388724383,0.46676178303441385,0.5,0.517153112468897,priority,0.23427290298594805,0.6574377383471349,0.516898409721063,False,False,False,1.9257621635230429
SYN-06,0.5924297823479251,0.4672508246428704,0.42907890666511406,0.5,0.5083414525476576,priority,0.2624081764263568,0.0017262886051440478,0.36440482079865416,False,True,False,1.1368807383778126
SYN-29,0.29386120487521844,0.5897614297515869,0.7138682606781327,0.5,0.49755350276742905,priority,0.19601216025791812,0.4020613527630214,0.4401640666973359,False,True,False,1.5357910824857044
SYN-02,0.6203205691656836,0.41689098592691076,0.63638472973464,0.0,0.4694564409329905,priority,0.20842872134980384,0.19734927252828863,0.7282472867223542,False,True,False,1.6034817215334372
SYN-05,0.4827217556261976,0.32522224741948735,0.5279856783271902,0.5,0.4471164243604534,priority,0.48240882155916887,0.7322083755193493,0.6388958597654577,False,False,False,2.300629481204429
SYN-18,0.33058287717737544,0.6933449969831322,0.6031203402495672,0.0,0.44433157415693453,priority,0.26138627352761956,0.045938718116643705,0.23737049420289058,False,False,False,0.9890270600040884
SYN-22,0.15619242528077834,0.501930530203823,0.43376102431528996,1.0,0.4419987127724774,priority,0.6090597418568493,0.29361900895640924,0.5216177461410814,False,False,False,1.8662952097268173
SYN-14,0.3327416062375987,0.35464230017308807,0.6481890216823166,0.5,0.4274900565715493,priority,0.32163165063130283,0.4311198557286818,0.45537488466662823,False,True,False,1.6356164475981623
SYN-27,0.5564220305975524,0.42084418457732437,0.4682952652826442,0.0,0.41466001913886946,priority,0.405372214056455,0.18729501199948886,0.4474673815636666,False,False,False,1.45479462675848
SYN-03,0.642188075324146,0.23661803766432926,0.5459154740452311,0.0,0.4049343324717961,priority,0.24514839930849958,0.405329849014866,0.6316323748585461,True,True,True,1.687044955653708
SYN-28,0.504900897145687,0.2380628616613314,0.7767694557413675,0.0,0.4034880636476633,priority,0.44667989120662577,0.46970964758501715,0.21479515338115943,True,False,False,1.5346727558204656
SYN-23,0.634633237074453,0.23464261282547794,0.5483687552110529,0.0,0.4021881678659125,priority,0.4141498951668514,0.5048221125650821,0.393023019423325,False,False,False,1.714183195021171
SYN-20,0.5737761571202166,0.2558959227726583,0.5511595851427508,0.0,0.38782234885242345,priority,0.6417151740169166,0.38370436511273925,0.18388595462340906,True,False,False,1.5971278426054882
SYN-26,0.17156680077629363,0.6022888171228375,0.6106711534938515,0.0,0.36286925610732434,priority,0.20671804195986812,0.4377305746157316,0.3372665105453981,False,False,False,1.3445843832283222
SYN-13,0.4207971187851087,0.35278996756032166,0.5472021347462627,0.0,0.3625564087921371,priority,0.2341069423337603,0.9213597850924042,0.6927671012395318,False,True,False,2.210790237457833
SYN-00,0.5011891186267617,0.26268673745090865,0.5191116386509346,0.0,0.3580445404848261,priority,0.4578770928817899,0.31098300332752343,0.29663365440878986,True,False,False,1.423538291102929
SYN-16,0.30875498822463526,0.40384463101650087,0.530668805815364,0.0,0.3353513963466454,priority,0.5256525985281286,0.7445374149798116,0.39986601619044754,True,False,False,2.0054074260450334
SYN-10,0.49098845469864366,0.12287740733303265,0.5346207941255062,0.0,0.3156333401695363,priority,0.3063123967377381,0.37858129709807153,0.4978300541895672,False,True,False,1.4983570881949133
