parameter,sign,rank_changes,max_isvm_delta,order
organic_abundance,1,0,0.004899999999999904,Nightingale/Sandpiper/Kingfisher/Osprey
organic_abundance,-1,0,0.004899999999999904,Nightingale/Sandpiper/Kingfisher/Osprey
volatile_abundance,1,0,0.004899999999999904,Nightingale/Sandpiper/Kingfisher/Osprey
volatile_abundance,-1,0,0.004899999999999904,Nightingale/Sandpiper/Kingfisher/Osprey
organic_silicate_ratio,1,0,0.0041999999999999815,Nightingale/Sandpiper/Kingfisher/Osprey
organic_silicate_ratio,-1,0,0.0041999999999999815,Nightingale/Sandpiper/Kingfisher/Osprey
ch2_ch3,1,0,0.0025199999999999667,Nightingale/Sandpiper/Kingfisher/Osprey
ch2_ch3,-1,0,0.0025200000000000777,Nightingale/Sandpiper/Kingfisher/Osprey
carbon_content_pct,1,0,0.0035000000000000586,Nightingale/Sandpiper/Kingfisher/Osprey
carbon_content_pct,-1,0,0.0035000000000000586,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_phyllo,1,0,0.0,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_phyllo,-1,0,0.0016666666666667052,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_carbonate,1,0,0.0007500000000000284,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_carbonate,-1,0,0.013249999999999984,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_sulfate,1,0,0.0006666666666667043,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_sulfate,-1,0,0.013166666666666771,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_oxide,1,0,0.0005833333333333801,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_oxide,-1,0,0.013083333333333447,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_silicate,1,0,0.0,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_silicate,-1,0,0.001000000000000112,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_amorphous,1,0,0.0004166666666667318,Nightingale/Sandpiper/Kingfisher/Osprey
mineral_amorphous,-1,0,0.012916666666666687,Nightingale/Sandpiper/Kingfisher/Osprey
amorphous_fraction,1,0,0.003750000000000031,Nightingale/Sandpiper/Kingfisher/Osprey
amorphous_fraction,-1,0,0.003750000000000142,Nightingale/Sandpiper/Kingfisher/Osprey
hydration_depth,1,0,0.006000000000000005,Nightingale/Sandpiper/Kingfisher/Osprey
hydration_depth,-1,0,0.006000000000000005,Nightingale/Sandpiper/Kingfisher/Osprey
space_weathering_proxy,1,0,0.0016666666666667052,Nightingale/Sandpiper/Kingfisher/Osprey
space_weathering_proxy,-1,0,0.0016666666666667052,Nightingale/Sandpiper/Kingfisher/Osprey
geologic_diversity,1,0,0.0020000000000000018,Nightingale/Sandpiper/Kingfisher/Osprey
geologic_diversity,-1,0,0.0020000000000000018,Nightingale/Sandpiper/Kingfisher/Osprey
tmax_k,1,0,0.022500000000000075,Nightingale/Sandpiper/Kingfisher/Osprey
tmax_k,-1,0,0.025499999999999967,Nightingale/Sandpiper/Kingfisher/Osprey
