site,C,M,G,T,isvm
SYN-26,0.682152233247269,0.6558367789174088,0.8876852506622983,0.5942174752552555,0.7021739867325147
SYN-24,0.667718121304264,0.6106972949264825,0.6269341699426276,0.8228757105919413,0.6657287215117539
SYN-16,0.6615377018119102,0.6887415396032662,0.7183829061911214,0.31871669076998105,0.6296447423688699
SYN-06,0.6910979555916446,0.6510605419182263,0.5191054392159947,0.5559409139945637,0.624414671974927
SYN-17,0.486248442161778,0.6511994018178744,0.7786296665069807,0.5703347368432011,0.606822919129861
SYN-13,0.6027916055478857,0.4844903500703638,0.7872641053651561,0.5333049631446601,0.5937727325075993
SYN-18,0.5105771187157102,0.7293265913937076,0.6452404888279912,0.4045867896673232,0.5872360851843076
SYN-07,0.4466988527012544,0.9288478598820824,0.5031601452173923,0.3393989081239394,0.5865408216721332
SYN-01,0.5566308021796029,0.4849974551056763,0.6299068343024584,0.795938621628496,0.58569217739933
SYN-12,0.7182029315487537,0.5765185046720209,0.5747459531225371,0.3044879592559775,0.5849489619565741
SYN-00,0.6745908105480138,0.6218066509544974,0.47367397984388887,0.40627592677392754,0.5783249639630209
SYN-25,0.4181003706421377,0.601700411538372,0.5660829823525942,0.8088434960738249,0.5613883740678524
SYN-23,0.4070662973445683,0.8154363817069334,0.6136709532543843,0.329727931978355,0.559297499030309
SYN-15,0.6111045054636393,0.49524008749455034,0.4946609617024777,0.6400088555369954,0.5573921238316837
SYN-22,0.6428860859310073,0.4539393648464707,0.7239986224265934,0.2891975056203549,0.5493712898581656
SYN-29,0.456149866587655,0.5859945086315531,0.43027217814056046,0.7892115840915304,0.5398869791369869
SYN-02,0.6318335323358952,0.5367707362126057,0.6394097584670296,0.1958902864841343,0.5394384518473712
SYN-19,0.479751417533025,0.6861967334997919,0.4176353427020902,0.49757528770244674,0.5319353778822814
SYN-21,0.5175508821691531,0.6058584959578346,0.6096874822187603,0.24289295388138188,0.5212717970725133
SYN-11,0.3466663621852852,0.6033378542196226,0.5907625406041807,0.5848890327662293,0.5082204460665071
SYN-27,0.44523967404807896,0.38434743978433866,0.6382892546557698,0.5766967393290463,0.4853004796826401
SYN-04,0.37817002966749114,0.6601605055739812,0.6672942561611731,0.023303212692400155,0.46736199519191096
SYN-05,0.5259764577256237,0.34779464070243465,0.5598116885119674,0.4195670658128051,0.463327549989013
SYN-14,0.5069556266478769,0.2450381322664059,0.609523205411869,0.5357037676429127,0.45320611523548937
SYN-08,0.5086355722462412,0.35074251390142375,0.39984087347903136,0.4886988807482012,0.43651821126464796
SYN-03,0.5174881334982377,0.31377530208459936,0.440371823655575,0.4561656512450045,0.43175264976762867
SYN-09,0.3793170270975633,0.6104480045435239,0.3065774990034076,0.3406541774698004,0.4283089872683559
SYN-20,0.5440292600603726,0.25369256531728707,0.6505715650570288,0.18967659699569933,0.42508381317707716
SYN-10,0.34461068461978356,0.33598213539146293,0.7286048127151727,0.32285869967714886,0.41555814772896993
SYN-28,0.4173362687193517,0.3791047199113915,0.5200088742634702,0.33671442022546955,0.41430804791170495
